name,money,addr
开平市开德利实业有限公司,100万元人民币,开平市三埠长沙曙光东路138号
山西省蒲县浚洁医疗器械有限公司,2000万元人民币,山西省临汾市蒲县黑龙关镇西坡村
桐城市康利吉劳保用品有限公司,100万元人民币,安徽省安庆市桐城经济技术开发区双新产业园经四路一号
安庆市利康劳保用品有限公司,300万元人民币,安徽省安庆市怀宁县工业园黄龙路11号
滑县仁建卫生材料有限公司,80万元人民币,河南省安阳市滑县瓦岗寨乡马庄村向东500米
安徽格努博尔塑业有限公司,5800万元人民币,安徽省桐城双新经济开发区伊洛大道北侧
广东博顺带业有限公司,3800万元人民币,博罗县杨侨镇十二岭办事处通站路边
郑州市豫融新材料有限公司,2000万元人民币,河南省郑州市登封市中岳街道产业聚集区A区4号楼
深圳市聚能同欣科技有限公司,50万元人民币,深圳市光明新区玉塘街道长圳社区长兴科技工业园23栋3楼西边
上海烟草材料厂有限公司,763万元人民币,中国(上海)自由贸易试验区张江路1406弄49号2幢102室
贺州市惠众医疗器械有限公司,200万元人民币,贺州市八步区松木岭路35号412室
福建省创美无纺布制品有限公司,800万元人民币,南安市洪濑镇扬美开发区
安徽振威泵业有限公司,500万元人民币,安徽省安庆市潜山县黄铺经济开发区
揭阳市志勤医疗用品有限公司,5500万元人民币,揭阳空港经济区砲台镇中心工业园(车间A第三层)
安徽国祥防护用品有限公司,800万元人民币,安徽省安庆市桐城经济技术开发区双创园兴隆路1号
安徽卫之康防护用品有限公司,509万元人民币,安徽省安庆市桐城市新渡镇德隆路1号
安庆康净劳保用品有限公司,168万元人民币,安徽省安庆市经开区中山大道99号1号楼三层
霍邱县辉达永康医疗器械有限公司,518万元人民币,安徽省六安市霍邱经济开发区中小企业创业园
台州市黄岩万联挤出模具有限公司,50万元人民币,浙江省台州市黄岩区新前开发区锦川路32号
桐城市吉兴防护用品有限公司,6万元人民币,安徽省安庆市桐城市青草镇河滨新村11号
九江宝靓电子科技有限公司,100万元人民币,江西省九江市瑞昌市夏畈镇花园墩
东莞市丽春吸塑制品有限公司,50万元人民币,东莞市石排镇沙角村村尾路26号
沈阳信天翁科技有限公司,500万元人民币,"辽宁省沈阳市浑南区上深沟村858-20号,沈阳国际软件园B20号103-2室"
华聚新材料（宝应）有限公司,500万元人民币,宝应县安宜工业集中区科技创业园
桐城市润锦防护用品有限公司,108万元人民币,安徽省安庆市桐城市文昌街道文昌工业园8号
山东凯骏环保科技有限公司,1200万元人民币,山东省潍坊市高密市姜庄镇昌安大道(北)3267号
潍坊泽恒针织有限公司,300万元人民币,山东省潍坊市高密市朝阳街道秦家岭村盛世华府二期1-1号营业房
大连梓越纺织新材料有限公司,300万元人民币,辽宁省大连普湾新区炮台街道长岭村
山东卫康防护用品有限公司,5000万元人民币,山东省菏泽市巨野县大义镇工业园区
深圳市正品轩实业发展有限公司,2000万元人民币,深圳市龙岗区横岗街道四联社区228工业区前程路2号C栋201
泸州新铭诺荟医疗器械有限公司,100万元人民币,四川省泸州市泸县高新区医药产业园酒香大道南段2号
安徽泰戈防护用品有限责任公司,520万元人民币,安徽省安庆市桐城市青草镇同兴村前进队6号
河北月悦美医疗科技开发有限公司,1000万元人民币,河北省邯郸市广平县锦泰路西段路南
安徽净洁新材料科技有限公司,500万元人民币,安徽省安庆市怀宁县黄墩镇皖埠村中心组
安徽赛杭卫生材料有限公司,1000万元人民币,安徽省安庆市潜山市开发区迎宾大道八一路188号
武宁县宏辉新材料有限公司,600万元人民币,江西省九江市武宁县工业园
安徽省庆信堂卫生材料有限公司,1000万元人民币,安徽省安庆市潜山市梅城镇南岳路925号
安徽壹圆卫生材料有限公司,1000万元人民币,安徽省安庆市怀宁县工业园里仁路8号
怀宁泰华纺织品销售有限公司,100万元人民币,安徽省安庆市怀宁县马庙镇马庙街道
北京见奇电子机械研究所,,北京市西城区天宁寺东里甲24号北滨河旅馆01号
吉林省元力医疗器械有限公司,300万元人民币,吉林市磐石市经济开发区吉林省元力药业有限公司-办公楼3楼
江西祺煌医用卫生材料有限公司,600万元人民币,江西省南昌市进贤县进贤大道2092号(10号空置厂房)
安庆市宁仁康劳保用品有限公司,500万元人民币,安徽省安庆市怀宁县高河镇独秀大道28号
江阴健发特种纺织品有限公司,50万元人民币,江阴市华士镇勤丰村海达路80号
安庆市盛鸿新材料有限公司,600万元人民币,安徽省安庆市怀宁县工业园洪铺路5号
绍兴市盛龙纺织有限公司,3000万元人民币,绍兴市袍江斗门镇上窑村
北京弘暖纤科技有限公司,2000万元人民币,北京市海淀区昆明湖南路51号院内A座二层209号
东莞市康旗医疗科技有限公司,500万元人民币,广东省东莞市寮步镇上屯创业街51号
晋江市仕泰兰服饰织造有限公司,3150万元人民币,福建省泉州市晋江市龙湖镇仑上村工业区50号
河源泽盛服装有限公司,200万元人民币,连平县三角镇生态工业园共建区第7栋
江西九仓医疗器械有限公司,2000万元人民币,江西省吉安市遂川县工业园区北区
东莞市亿茂滤材有限公司,1000万元人民币,东莞市东城区温塘砖窑工业区砖窑四路198号
濮阳市龙大无纺布有限公司,300万元人民币,市黄河路西段(创业中心17号厂房)
山西隆菲医疗器械有限公司,5000万元人民币,侯马经济开发区香邑大道海星智慧科技产业园
桐城市舒尔康防护用品有限公司,109万元人民币,安徽省安庆市桐城市青草镇高山村2号
山东金信空调集团股份有限公司,10600万元人民币,武城县鲁权屯镇开发区
鹤山市东海塑料色母有限公司,200万元人民币,鹤山市鹤城镇先锋村委会邱杨叶村(元岭山)
青岛金手力王劳保用品有限公司,500万元人民币,青岛市李沧区金水路318号148室
东莞市恒永滤材科技有限公司,300万元人民币,东莞市横沥镇裕宁北路9号
浙江中孚环境设备股份有限公司,2400万元人民币,德清县雷甸镇新利村
安徽省建升矿山设备销售有限公司,2000万元人民币,安徽省安庆市怀宁县高河镇孔雀路241号
安徽徽佳盾医用防护用品有限公司,1000万元人民币,安徽省安庆市怀宁县工业园稼先北路9号
俊富非织造材料有限公司,30773.6527万元人民币,潍坊市高新区宝通街6446号
唐山日日康防护用品有限公司,500万元人民币,河北省遵化市中小企业孵化园(河北中林建筑机械有限公司院内)
淄博太勋塑料有限公司,4568.55万元人民币,淄博市临淄区辛店办事处西夏村北
东莞市普行环保科技有限公司,5万元人民币,广东省东莞市凤岗镇官井头河背岭横路3号
江西雅康医用卫生材料有限公司,200万元人民币,江西省九江市彭泽县黄花镇为民小微创业园
高密市釜泰贸易有限公司,1000万元人民币,山东省潍坊市高密市夏庄镇张家南直村
