name,money,addr
成都市清白江区振兴塑料厂新都经营部,0.8万元人民币,成都市新都县大丰镇山王庙
河北石炼新材料有限公司,300万元人民币,河北省衡水市冀州区南部工业新城
洛阳发时达工贸有限公司,50万元人民币,吉利科技园综合服务楼
临沂长城化工有限责任公司,1300万元人民币,临沂高新区罗十一路与双月湖路交汇处
东山县福昌贸易有限公司,280万元人民币,东山县铜陵镇文峰街996号
安徽鸿鹏滤材有限公司,1000万元人民币,安徽省阜阳市太和县五星镇付桥村郭桥村西
柏力开米复合塑料（昆山）有限公司,974万美元,江苏省昆山市张浦镇横贯泾路508号
天津瑞德恒通环保科技有限公司,1200万元人民币,天津市宝坻区牛道口镇黄沙务村东南角
山东正宇新材料科技有限公司,1500万美元,临沂市经济技术开发区合肥路与联邦路交汇处
山东优一新材料有限公司,2000万元人民币,山东省菏泽市东明县武胜桥镇开发区
建湖县华信塑编包装有限公司,53万元人民币,颜单镇工交路94号
河北旭轮化工有限公司,300万元人民币,清河县葛仙庄镇北赵庄社区
浙江绿通管道有限公司,1058万元人民币,杭州市余杭区北沙东路9号
安徽省石油公司砀山县支公司,-,安徽省宿州市砀山县道南路133号
保定市锐拓彩印有限公司,1200万元人民币,保定市满城区大册营镇大册村
常德市瑞雄化工贸易有限公司,500万元人民币,湖南省澧县澧阳街道办事处芬司街居委会解放中路268号
冠县云河塑料制品有限公司,1500万元人民币,冠县烟庄街道办事处野庄村
金华市巨峰吸管厂,-,浙江省金华市婺城区长山乡长山一村
商丘市启菲包装有限公司,100万元人民币,商丘市梁园区凯旋路中环广场B幢6楼
平阳县梅源残联塑料编织厂,54.8万元人民币,梅源乡梅源街
成都电缆厂劳服司辅助材料厂,67万元人民币,成都外南神仙树
桂林市华联塑料制品厂,4万元人民币,市华侨农场鸡冠山
湖州市南浔塑料五金制品厂,4万元人民币,-
大城县注硕塑料制品有限公司,500万元人民币,大城县旺村村
洛阳合盈再生资源回收有限公司,300万元人民币,洛阳市吉利区马洞村
山东晨光塑料药业包装有限公司,300万元人民币,沂水县沂博路109号
营口金瑞泰化工股份有限公司,10000万元人民币,辽宁省营口市新联大街东一号
温州市金田塑业有限公司,10000万元人民币,苍南县龙港镇龙金大道示范工业区(海港路)
浙江亚兰特新材料科技有限公司,11000万元人民币,嘉兴市乍浦镇东方大道365号3幢101室
宁波保美新型材料有限公司,1180万美元,宁波市北仑区甬江南路36号
宜昌世纪嘉华塑业有限公司,700万元人民币,中国(湖北)自贸区宜昌片区长机路3号*
平阳县富达塑料包装厂,50万元人民币,麻步镇交阳村
鄢陵县宏达福利化工厂,14.7万元人民币,大马乡义女村
