日期,省,城市,城市代码,口罩相关厂商,熔喷布相关厂商,纺织机械相关厂商,无纺布相关厂商,医疗器械相关厂商,聚丙烯相关厂商,卫生相关厂商,人口密度,人口数,确诊,疑似,治愈,死亡,百度指数全部,百度指数pc,百度指数移动
2020-01-21,北京市,大兴区,110115,145,0,10951,39,14428,16,4055,1136,2154,2,0,0,0,61585,12100,49485
2020-01-21,黑龙江省,牡丹江市,231000,70,0,627,36,3523,18,5302,5476,3773,0,1,0,0,61585,12100,49485
2020-01-21,浙江省,杭州市,330100,5157,11,37697,1219,54578,297,71513,2137,5737,1,0,0,0,61585,12100,49485
2020-01-21,浙江省,温州市,330300,3779,12,9990,21191,15190,427,0,2137,5737,2,0,0,0,61585,12100,49485
2020-01-21,浙江省,舟山市,330900,137,5,3113,0,2398,98,0,2137,5737,1,0,0,0,61585,12100,49485
2020-01-21,浙江省,台州市,331000,1606,10,5790,0,9543,175,0,2137,5737,1,0,0,0,61585,12100,49485
2020-01-21,安徽省,合肥市,340100,1110,176,12829,937,34093,147,32412,2599,6324,0,1,0,0,61585,12100,49485
2020-01-21,江西省,萍乡市,360300,67,11,584,29,2256,42,2854,4818,4648,1,0,0,0,61585,12100,49485
2020-01-21,江西省,抚州市,361000,89,36,682,198,3952,15,3439,4818,4648,1,0,0,0,61585,12100,49485
2020-01-21,山东省,青岛市,370200,3731,321,46440,1687,41435,279,82282,1622,10047,1,0,0,0,61585,12100,49485
2020-01-21,河南省,郑州市,410100,1960,87,23591,637,58752,72,40242,4903,9605,1,0,0,0,61585,12100,49485
2020-01-21,湖南省,长沙市,430100,50,40,14019,99,35101,57,106739,3174,6899,1,0,0,0,61585,12100,49485
2020-01-21,广东省,广州市,440100,131,3,39952,1062,75125,157,383636,3469,11346,2,0,0,0,61585,12100,49485
2020-01-21,广东省,韶关市,440200,133,6,581,34,2549,12,2962,3469,11346,2,0,0,0,61585,12100,49485
2020-01-21,广东省,深圳市,440300,14371,803,63506,4954,87865,295,117277,3469,11346,14,0,0,0,61585,12100,49485
